"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RASL11A",-9.72580933961319,207.981937814926,-1.41559807879747,0.157342226549682,0.396888385387631,-5.14735927596347
"SPPL3",35.0709380368176,2579.89625146607,1.41558677060697,0.157345538133377,0.396888385387631,-5.14737447010982
"HRH2",-11.9149754894254,63.0912159490092,-1.4154540401327,0.157384411976451,0.396946746094791,-5.14755280317555
"AZIN2",-6.73825324470201,241.542342138183,-1.41538281139061,0.157405276319032,0.396959677051715,-5.14764849732874
"LOC101927619",-0.0121979949561083,0.00623419962176549,-1.41524801137897,0.157444767724512,0.397009723789883,-5.14782958489861
"ITGA9-AS1",1.34163625024592,39.4113916962327,1.41520751878617,0.157456632022338,0.397009723789883,-5.14788397846875
"RNU5E-1",-0.125396457397883,0.686898483774629,-1.41514796141756,0.157474083518138,0.397009723789883,-5.14796397888028
"CEPT1",-16.3955851298172,876.355937487093,-1.41506422065481,0.157498623714828,0.397009723789883,-5.14807645796558
"CPNE4",2.51816742277766,18.8337050140952,1.41504649689076,0.157503818029074,0.397009723789883,-5.14810026335819
"CHST12",11.2883456209083,512.220932495041,1.4149701695395,0.157526188818464,0.397026437525672,-5.14820277784308
"LVRN",-0.11833712766205,0.747087602899428,-1.4148740242299,0.157554371488553,0.397039130582268,-5.14833190180302
"ADAM9",224.487258121615,7016.46537598515,1.41484559337445,0.15756270603903,0.397039130582268,-5.14837008301035
"TP53RK",23.2950851693111,1665.24987954681,1.41473902518088,0.157593949653752,0.39707819259477,-5.14851319194217
"HECW1",-0.417558855579707,1.27440294729591,-1.41449699543334,0.157664925299587,0.397119540530694,-5.14883817049447
"STK33",-73.9496708177626,1809.93271110311,-1.41448572720703,0.157668230317805,0.397119540530694,-5.1488532992382
"CAST",-265.006755525774,17274.0886216776,-1.4144813578965,0.15766951186913,0.397119540530694,-5.14885916545118
"NDUFB8",38.8213450549792,2648.36624200337,1.4144683239958,0.157673334856284,0.397119540530694,-5.14887666458975
"ACYP1",-9.72739084743489,290.373731572083,-1.41433259022423,0.157713151254825,0.397180164462032,-5.14905888938746
"OR1N1",-0.0456469086676458,0.128829894619219,-1.41418661600317,0.157755980124978,0.397248362051756,-5.14925484275724
"LOC103171574",-0.0257009538638543,0.0421349025950964,-1.41408232816008,0.157786583609525,0.3972529802353,-5.14939482471404
"MTMR1",-24.6576585401431,1756.93502409624,-1.4140599287749,0.157793157343673,0.3972529802353,-5.14942488929363
"MANSC1",-30.7586132540168,777.816607090992,-1.41401936953562,0.157805061130578,0.3972529802353,-5.14947932692607
"NRL",-1.75915808387045,80.8264483800068,-1.41395486556665,0.157823993893388,0.397260994109052,-5.14956589940027
"KBTBD8",-4.65855421400563,73.6749192766893,-1.41373559911085,0.157888364374338,0.397381749844597,-5.14986015332891
"PROS1",-169.418001552764,1957.19826483709,-1.41368413390505,0.157903476002712,0.397381749844597,-5.14992921267394
"MFSD11",16.6520821107895,1203.64855558744,1.41351333069406,0.157953636486263,0.397468328684108,-5.15015838957174
"VCX",-0.0838548336672492,0.427644211253655,-1.41344458952173,0.157973827403065,0.397479483532658,-5.15025061595182
